20210411_9
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
8	6	綠彩威利(D264)	黃俊	告東尼	117	1030	14	6	[13][12][8]	0:58.19	182
9	12	令才(D350)	黎海榮	霍利時	118	1089	12	6-1/2	[3][2][9]	0:58.27	307
10	8	開心好友(B466)	陳嘉熙	姚本輝	113	1144	1	8-3/4	[4][6][10]	0:58.60	25
11	9	悅驫(C521)	潘明輝	羅富全	118	1031	3	11	[12][10][11]	0:58.97	26
12	11	大武士(B216)	巫顯東	沈集成	115	1179	5	11	[14][14][12]	0:58.98	71
13	7	快快趣(D402)	梁家俊	姚本輝	120	1115	8	11-1/4	[11][11][13]	0:59.01	132

20210117_6
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
 1	5	齊齊友福(D505)	賀銘年	鄭俊偉	125	1159	12	-	[1][2][1]	1:10.48	14
2	11	尖辣椒(D286)	莫雷拉	沈集成	119	1216	3	短馬頭位	[5][3][2]	1:10.49	23
3	13	醒旺財(D208)	楊明綸	韋達	117	1100	4	1-1/2	[6][7][3]	1:10.71	9.8
4	1	大眾開心(D029)	潘頓	羅富全	132	1096	5	1-3/4	[7][5][4]	1:10.76	1.9
5	12	遨遊之星(C098)	波健士	容天鵬	118	1246	2	3	[2][1][5]	1:10.97	12
6	10	競駿翩翩(D399)	彭國年	蘇偉賢	123	1079	7	3-1/2	[3][4][6]	1:11.06	32
7	3	荷花福星(C311)	梁家俊	蘇保羅	126	1145	11	4-1/4	[11][10][7]	1:11.14	9
8	7	創科先鋒(D361)	田泰安	文家良	125	1124	6	4-3/4	[8][8][8]	1:11.23	9.3
9	14	一路順風(C453)	黃俊	苗禮德	108	1130	1	5-1/4	[4][6][9]	1:11.32	30
10	9	勝將飛騰(E021)	薛恩	賀賢	124	1092	9	5-1/2	[13][12][10]	1:11.37	10
11	8	神逸金剛(E093)	黃皓楠	葉楚航	122	1152	8	7-1/4	[9][9][11]	1:11.63	148
12	4	綫路豪傑(E014)	郭能	姚本輝	125	1170	10	7-1/2	[10][11][12]	1:11.69	141
13	2	活力勇士(A313)	陳嘉熙	方嘉柏	121	1103	14	7-3/4	[14][14][13]	1:11.74	101

20210117_5
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	6	觀世界(E039)	薛恩	容天鵬	127	1106	8	-	[12][14][1]	1:09.97	75
2	1	明欣賞(C327)	周俊樂	賀賢	126	1091	5	1-3/4	[11][10][2]	1:10.25	8.6
3	3	雄龍(C191)	彭國年	蘇偉賢	132	1158	13	2	[14][12][3]	1:10.31	10
4	2	有得精彩(D238)	史卓豐	苗禮德	132	1195	14	2-1/2	[5][4][4]	1:10.39	5.2
5	13	信心滿滿(D229)	潘明輝	呂健威	116	1004	2	3-1/4	[8][8][5]	1:10.48	7.6
6	14	好友無敵(A217)	黎海榮	文家良	115	1082	4	3-1/2	[7][6][6]	1:10.52	41
7	4	弗雷(E047)	田泰安	沈集成	127	1171	9	3-1/2	[4][5][7]	1:10.53	6.6
8	11	日日有餘(E064)	陳嘉熙	方嘉柏	115	1150	7	4-1/2	[13][13][8]	1:10.67	53
9	8	當家信心(E153)	莫雷拉	蔡約翰	127	1154	3	5-1/4	[6][7][9]	1:10.83	4.3
10	5	悅華盛甲(E033)	波健士	高伯新	127	1140	1	5-1/2	[10][11][10]	1:10.84	174
11	12	合金皇(D287)	楊明綸	丁冠豪	118	1093	10	8	[1][1][11]	1:11.26	78
12	9	萬事有(D443)	郭能	告東尼	125	1171	11	8-1/4	[2][2][12]	1:11.27	89
13	7	鋼鐵福陞(E111)	賀銘年	鄭俊偉	127	1160	6	8-1/2	[3][3][13]	1:11.32	22

20210117_4
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	11	愛馬劍(B013)	梁家俊	告東尼	121	1033	6	-	[3][4][3][1]	1:38.54	13
2	8	進優自在(D258)	潘頓	徐雨石	125	1042	7	3	[4][1][1][2]	1:39.01	6
3	4	兩全其美(D205)	田泰安	方嘉柏	127	1186	10	4-1/4	[10][9][8][3]	1:39.19	6.3
4	7	榮冠大道(V378)	賀銘年	葉楚航	125	1194	8	5-3/4	[2][3][2][4]	1:39.48	10
5	1	紅麗舍(A005)	莫雷拉	文家良	133	1161	1	6-3/4	[7][7][6][5]	1:39.61	6.2
6	10	皇帝賽(C249)	彭國年	丁冠豪	121	1227	3	7-1/2	[6][6][7][6]	1:39.73	5.2
7	9	雷霆戰駒(D124)	楊明綸	蘇保羅	124	1133	11	7-1/2	[11][11][10][7]	1:39.75	22
8	2	雙天至尊(C293)	周俊樂	呂健威	126	1208	5	10-1/4	[1][2][4][8]	1:40.18	5.9
9	6	旅英福星(C368)	郭能	霍利時	126	1050	9	10-1/2	[9][10][11][9]	1:40.23	14
10	5	榮華煌昌(D252)	波健士	丁冠豪	127	1080	13	11-3/4	[13][12][12][10]	1:40.43	49
11	13	又享耆成(E069)	黎海榮	大衛希斯	116	1053	2	12	[5][5][5][11]	1:40.45	42
12	3	星光爸爸(D322)	潘明輝	韋達	130	1021	4	13-1/2	[8][8][9][12]	1:40.68	45
13	12	生生發發(B467)	黃皓楠	蘇偉賢	117	1121	12	18-3/4	[12][13][13][13]	1:41.54	113

20210117_3
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	2	烽煙四喜(A036)	莫雷拉	苗禮德	121	1163	5	-	[7][2][1][1]	1:37.85	5.3
2	5	鞍歌(A177)	潘明輝	姚本輝	112	1170	1	1-3/4	[5][7][5][2]	1:38.13	22
3	4	紅運大師(C287)	史卓豐	蔡約翰	119	1073	6	4-1/2	[2][4][3][3]	1:38.58	7.2
4	3	逍遙自在(B210)	梁家俊	羅富全	119	1148	7	5-1/2	[6][5][6][4]	1:38.73	5.9
5	1	黃金甲(C071)	潘頓	羅富全	133	1140	3	8	[1][1][2][5]	1:39.15	1.7
6	6	綠色有運(B413)	楊明綸	方嘉柏	113	1127	4	12	[4][6][7][6]	1:39.79	72

20210117_2
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	2	金莊令(D222)	賀銘年	姚本輝	130	1023	5	-	[4][4][3][1]	1:23.90	15
2	10	深愛(A088)	潘頓	葉楚航	124	1094	6	頭位	[5][5][4][2]	1:23.92	6.9
 3	12	綠豆怪傑(D079)	波健士	蘇偉賢	119	1177	8	1/2	[3][3][5][3]	1:24.00	156
 4	11	文武先鋒(B049)	薛恩	霍利時	122	1307	7	3/4	[2][2][2][4]	1:24.01	39
5	1	勁力十足(D362)	周俊樂	韋達	124	1239	9	3/4	[1][1][1][5]	1:24.03	2
6	13	日就月將(D157)	潘明輝	賀賢	116	1029	2	1-3/4	[8][9][6][6]	1:24.18	3.3
7	4	鋒芒快露(C417)	田泰安	苗禮德	128	1167	10	3	[9][10][10][7]	1:24.39	8.9
8	6	皇寶(D416)	楊明綸	羅富全	128	1234	3	3-1/4	[10][6][7][8]	1:24.40	99
9	8	紅褲福星(D445)	郭能	丁冠豪	128	1017	1	4-1/4	[6][7][8][9]	1:24.58	212
10	7	友誼之星(V379)	黃皓楠	蘇保羅	125	1176	11	5	[14][11][12][10]	1:24.68	30
11	14	甜酒杯(D247)	黃俊	方嘉柏	113	1214	14	5	[12][13][11][11]	1:24.71	83
12	5	包裝千里(E096)	梁家俊	沈集成	128	1162	12	12	[13][12][13][12]	1:25.83	163
13	3	快利來(D506)	彭國年	高伯新	128	1155	4	13-3/4	[7][8][9][13]	1:26.08	210

20210117_10
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	13	疾風明駒(D426)	賀銘年	蔡約翰	119	1126	13	-	[5][3][4][1]	1:21.92	10
2	10	星運明爵(C431)	陳嘉熙	方嘉柏	113	1131	6	1-1/4	[6][5][5][2]	1:22.14	9.4
3	11	糖糖幸運(D206)	田泰安	丁冠豪	119	1227	14	2	[3][2][2][3]	1:22.25	3
4	14	浪漫組合(D271)	巫顯東	沈集成	114	1130	12	2-1/2	[10][10][10][4]	1:22.32	5.6
5	8	嘉應精彩(C526)	莫雷拉	告東尼	123	1056	8	2-3/4	[2][4][3][5]	1:22.37	5.4
6	12	電訊犇豹(D405)	黃皓楠	葉楚航	116	1171	9	3	[12][13][14][6]	1:22.42	245
7	1	駿龍飛騰(E121)	潘頓	呂健威	133	1060	7	3-1/2	[11][11][11][7]	1:22.48	25
8	2	元朗之星(C303)	史卓豐	文家良	130	1117	10	4-3/4	[1][1][1][8]	1:22.67	10
9	7	繽紛遊戲(C013)	潘明輝	羅富全	123	1086	11	4-3/4	[13][14][13][9]	1:22.68	46
10	5	燦爛承傳(E124)	波健士	蘇保羅	128	1111	1	5	[7][9][8][10]	1:22.73	51
11	4	機智三寶(D455)	彭國年	姚本輝	128	1081	5	5-3/4	[8][7][6][11]	1:22.84	12
12	6	福盛(E137)	周俊樂	韋達	119	1134	4	6-1/4	[14][12][12][12]	1:22.92	19
13	9	天德(E128)	梁家俊	霍利時	120	1161	3	9-1/4	[9][8][9][13]	1:23.39	175
14	3	友盈友福(D343)	郭能	鄭俊偉	127	1075	2	9-1/4	[4][6][7][14]	1:23.40	180

20210117_1
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	5	幸運精選(B114)	田泰安	容天鵬	130	1186	5	-	[1][1][1][1]	1:36.14	6.6
2	12	天衣無縫(C261)	黃俊	文家良	119	1107	7	3/4	[5][5][5][2]	1:36.28	224
 3	10	智理共想(D060)	郭能	葉楚航	126	1053	4	1-3/4	[8][8][8][3]	1:36.41	10
4	8	力王(A065)	薛恩	霍利時	128	1087	6	1-3/4	[12][11][9][4]	1:36.41	66
5	2	電路一號(B373)	莫雷拉	告東尼	131	1075	2	2-1/2	[3][3][4][5]	1:36.54	8.3
6	1	美活人生(D398)	潘頓	沈集成	133	1101	3	3	[9][9][7][6]	1:36.60	2.4
7	11	旺旺寶駒(C418)	潘明輝	何良	124	1075	1	3-1/4	[7][6][6][7]	1:36.65	8.6
8	9	晴朗拍檔(B071)	賀銘年	霍利時	120	1119	9	4-3/4	[10][10][11][8]	1:36.88	26
9	4	緣份(C535)	周俊樂	韋達	124	1075	14	5-3/4	[4][2][2][9]	1:37.05	13
10	6	正義駒(D146)	梁家俊	姚本輝	129	1127	8	6	[2][4][3][10]	1:37.10	17
11	14	西夏之王(C295)	波健士	蘇偉賢	115	1077	10	13-1/2	[11][12][10][11]	1:38.28	20
12	7	度身訂做(C522)	楊明綸	鄭俊偉	129	1049	12	14	[13][13][12][12]	1:38.39	12
13	13	火箭砲(C520)	黎海榮	丁冠豪	114	982	11	15	[14][14][14][13]	1:38.54	183
14	3	錢途光輝(D218)	黃皓楠	呂健威	128	1023	13	29-3/4	[6][7][13][14]	1:40.90	316

20210110_9
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	5	足金好球(D465)	潘頓	丁冠豪	124	1162	7	-	[10][11][9][1]	1:34.21	3.5
 2	8	美麗日子(B076)	潘明輝	容天鵬	116	1172	6	頸位	[2][3][2][2]	1:34.26	20
 3	9	安頌(D381)	賀銘年	韋達	118	1157	2	1/2	[8][7][5][3]	1:34.29	45
4	3	精彩非凡(D327)	巴度	方嘉柏	126	1186	11	1/2	[14][14][13][4]	1:34.29	17
5	1	神亮金剛(C029)	蘇銘倫	葉楚航	132	1031	8	1-1/2	[12][13][12][5]	1:34.44	12
6	7	喜駿駒(D479)	田泰安	蔡約翰	121	1067	5	1-3/4	[5][6][6][6]	1:34.49	5.3
7	14	電訊巴打(D482)	黎海榮	徐雨石	115	1114	13	2	[9][8][8][7]	1:34.53	138
8	2	家樂飛駒(D267)	薛恩	鄭俊偉	129	1081	4	2-1/2	[7][9][7][8]	1:34.60	10
9	11	金獅大將(E057)	楊明綸	大衛希斯	116	1110	1	4	[11][10][10][9]	1:34.84	62
10	6	超勁勇士(D298)	莫雷拉	羅富全	121	1085	3	4-1/4	[6][5][3][10]	1:34.89	3.9
11	12	三圓䮭路(C149)	波健士	蘇保羅	115	1129	10	6-1/2	[13][12][14][11]	1:35.25	9.6
12	4	行雲流水(D233)	巫顯東	沈集成	121	1181	12	7	[1][1][1][12]	1:35.31	56
13	13	友港友笑(D367)	蔡明紹	蘇偉賢	115	1031	9	9-1/2	[4][4][4][13]	1:35.73	41

20210110_8
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	1	銀紙(B025)	田泰安	苗禮德	133	1141	6	-	[9][7][1]	1:08.93	8.7
 2	3	如真如假(C222)	薛恩	方嘉柏	123	1111	3	1/2	[6][1][2]	1:09.02	5.2
3	9	高友之星(D384)	陳嘉熙	羅富全	112	1174	9	1/2	[1][3][3]	1:09.03	14
4	10	各取所需(C474)	賀銘年	韋達	116	1078	5	2	[8][10][4]	1:09.26	23
5	11	加州更好(B204)	蔡明紹	告東尼	115	1162	11	2-1/2	[3][5][5]	1:09.32	54
6	6	特駒聯盟(C472)	莫雷拉	蔡約翰	118	1050	1	2-3/4	[10][4][6]	1:09.35	4.1
7	12	無心睡眠(D082)	楊明綸	大衛希斯	115	1072	12	3-1/2	[12][12][7]	1:09.48	172
8	5	暖在你心(D272)	周俊樂	呂健威	114	1095	2	4-1/4	[11][11][8]	1:09.62	4.6
9	2	和氣生財(D110)	潘頓	徐雨石	128	1115	10	4-3/4	[7][6][9]	1:09.69	9.9
10	8	印水紙(D043)	潘明輝	高伯新	115	1146	8	6-1/2	[5][9][10]	1:09.98	39
11	7	真勇士(D072)	史卓豐	文家良	120	1188	7	7-1/4	[2][2][11]	1:10.09	7.7

20210110_7
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	11	好眼光(D375)	莫雷拉	蔡約翰	118	1117	2	-	[2][2][1]	1:09.13	1.1
2	3	弛曜風(C028)	蘇銘倫	羅富全	131	1137	4	1-1/2	[4][3][2]	1:09.38	10
3	2	利害了(C367)	周俊樂	韋達	124	1140	11	2-3/4	[6][6][3]	1:09.56	19
 4	8	皇帝金(E077)	薛恩	大衛希斯	123	1046	7	4	[9][8][4]	1:09.75	145
5	4	悅跑得(C502)	田泰安	呂健威	130	1139	3	4	[1][1][5]	1:09.77	22
6	12	童話(B238)	賀銘年	徐雨石	120	1130	9	4-1/4	[12][10][6]	1:09.81	149
7	6	高耀智星(C067)	史卓豐	苗禮德	128	1094	6	4-1/2	[7][7][7]	1:09.85	31
8	9	眾歡笑(D038)	蔡明紹	鄭俊偉	120	984	8	5-1/4	[11][11][8]	1:09.97	20
9	7	競駿攻略(D380)	潘明輝	賀賢	125	1158	1	5-1/2	[5][4][9]	1:10.00	88
10	1	電路六號(D432)	梁家俊	文家良	133	1060	12	5-1/2	[8][9][10]	1:10.00	43
11	5	電路七號(D474)	何澤堯	告東尼	128	1115	10	7-1/2	[10][12][11]	1:10.32	224
12	10	軍力勁(B192)	楊明綸	容天鵬	118	1193	5	10	[3][5][12]	1:10.72	268

20210110_6
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	3	連連行運(C441)	巴度	蔡約翰	131	1114	8	-	[11][12][12][1]	1:34.86	6.4
2	4	超好日子(D473)	莫雷拉	呂健威	130	1180	10	頸位	[6][5][2][2]	1:34.92	4
 3	7	自然君子(C089)	彭國年	方嘉柏	125	1204	9	2-1/4	[9][9][8][3]	1:35.20	34
4	8	彩虹之光(E051)	周俊樂	韋達	118	1128	13	2-1/4	[14][14][14][4]	1:35.20	156
5	10	紅衣震撼(C366)	田泰安	蘇保羅	123	1031	11	2-3/4	[13][13][13][5]	1:35.28	10
6	6	巴基之友(B370)	波健士	蘇偉賢	128	1053	3	3	[5][6][6][6]	1:35.33	128
7	2	博愛友威(C152)	潘頓	沈集成	131	1077	2	4-1/2	[4][3][4][7]	1:35.57	3.7
8	14	無極戰士(D073)	楊明綸	姚本輝	116	1167	14	4-3/4	[12][10][10][8]	1:35.64	91
9	1	保羅承傳(C517)	梁家俊	羅富全	133	1075	1	5-1/4	[1][1][1][9]	1:35.70	4.3
10	11	尖子(C266)	潘明輝	徐雨石	117	1106	4	7	[8][8][7][10]	1:35.98	29
11	5	會展達人(C505)	蔡明紹	葉楚航	128	1270	12	8-1/2	[3][4][3][11]	1:36.23	68
12	12	勇敢動力(D153)	何澤堯	告東尼	117	1147	5	12-1/4	[7][7][9][12]	1:36.82	9.8
13	13	赤馬雄風(E028)	黃俊	大衛希斯	112	1204	6	13-3/4	[2][2][5][13]	1:37.06	217

20210110_5
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
 1	1	萬眾力得(D328)	莫雷拉	羅富全	133	1134	14	-	[5][5][1]	0:57.02	3.1
2	14	魅力星光(C540)	潘明輝	韋達	112	1098	5	短馬頭位	[4][3][2]	0:57.04	20
3	4	同有友(D048)	蘇銘倫	沈集成	130	1227	2	1-1/4	[3][4][3]	0:57.21	6
 4	6	十二馬(D280)	何澤堯	蘇偉賢	126	1125	6	2	[12][9][4]	0:57.34	9.5
5	5	威妙星(D356)	周俊樂	容天鵬	120	1162	1	2-1/4	[6][10][5]	0:57.36	7.7
6	10	虹鴻(D098)	梁家俊	賀賢	124	1208	13	2-1/2	[10][12][6]	0:57.44	74
7	9	霸勝(A270)	賀銘年	葉楚航	124	1288	9	2-3/4	[1][1][7]	0:57.45	21
8	2	再大大(D084)	史卓豐	鄭俊偉	132	1142	12	2-3/4	[13][11][8]	0:57.48	8.3
9	13	中華威威(D075)	田泰安	徐雨石	117	1225	10	3-1/4	[2][2][9]	0:57.54	54
10	11	勇眼光(D487)	薛恩	大衛希斯	124	1255	3	4-1/2	[14][13][10]	0:57.73	30
11	12	吉利大勝(D122)	蔡明紹	高伯新	120	1164	8	5	[9][8][11]	0:57.83	10
12	7	頌聖(E171)	巴度	霍利時	125	1100	7	6-1/4	[11][14][12]	0:58.00	104
13	3	無限商機(C432)	郭能	文家良	131	1180	11	8-1/2	[7][7][13]	0:58.37	27

20210110_4
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	3	是必飛飛(D121)	史卓豐	容天鵬	128	1291	6	-	[5][4][3][1]	1:22.57	5.9
2	11	珍珠鳳凰(B201)	賀銘年	文家良	120	1054	3	頸位	[7][6][6][2]	1:22.62	32
3	13	果然友(C313)	莫雷拉	方嘉柏	116	1149	12	1/2	[10][11][11][3]	1:22.67	2.5
4	12	雷公鑿(V279)	巫顯東	徐雨石	116	1211	13	1-1/4	[3][2][1][4]	1:22.76	50
5	9	有緣人(D348)	田泰安	蔡約翰	122	1120	2	1-3/4	[1][3][4][5]	1:22.83	28
6	1	正本開心(C227)	蘇銘倫	羅富全	133	1160	9	2-1/4	[12][9][7][6]	1:22.91	5.2
7	2	金碧科(B225)	周俊樂	鄭俊偉	123	1039	14	2-1/4	[14][14][13][7]	1:22.93	18
8	5	萬市之光(E009)	波健士	蘇偉賢	126	1105	8	4	[11][12][12][8]	1:23.21	114
9	4	爸巴閉(D235)	郭能	霍利時	128	1084	5	4-1/4	[8][10][9][9]	1:23.23	8
10	14	宇宙紀錄(D137)	黃俊	苗禮德	111	1018	4	5-1/2	[4][5][5][10]	1:23.44	152
11	8	冠軍名駒(D155)	潘頓	丁冠豪	123	1157	11	7	[9][8][10][11]	1:23.67	6.8
12	10	挺秀精神(E027)	何澤堯	告東尼	121	1215	7	7-1/4	[2][1][2][12]	1:23.72	62
13	6	大紅星(D305)	黃皓楠	葉楚航	123	1007	1	11-1/2	[6][7][8][13]	1:24.42	338

20210110_3
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	9	上捕先鋒(C300)	薛恩	霍利時	121	1233	6	-	[4][3][1]	1:09.61	17
2	1	翡翠劇院(A040)	周俊樂	文家良	126	1120	1	1-1/2	[6][6][2]	1:09.86	7.5
 3	5	百寶袋(D008)	郭能	姚本輝	131	1049	5	2-1/4	[2][2][3]	1:09.97	1.8
 4	3	幸運大兄(A423)	潘頓	蘇保羅	131	1060	3	2-1/4	[1][1][4]	1:09.98	11
5	7	中華精神(D148)	田泰安	何良	127	1137	10	2-1/2	[3][4][5]	1:09.99	28
6	2	好運多寶(D400)	蘇銘倫	告東尼	132	1289	12	5-1/4	[5][5][6]	1:10.46	16
7	4	龍城猛將(V225)	史卓豐	苗禮德	131	1202	2	5-3/4	[8][7][7]	1:10.53	6.9
8	10	樂飛勝(B450)	黃皓楠	鄭俊偉	116	1087	4	5-3/4	[9][9][8]	1:10.54	36
9	12	銳俊良駒(C513)	巫顯東	容天鵬	110	1068	11	7-1/2	[11][11][9]	1:10.82	267
10	6	明月千山(C403)	黎海榮	徐雨石	128	1152	7	8-1/4	[10][10][10]	1:10.94	16
11	11	勁快步(A053)	巴度	高伯新	113	1163	8	8-3/4	[7][8][11]	1:11.02	20

20210110_2
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	2	合夥年代(C534)	巴度	蘇偉賢	132	1106	3	-	[8][6][7][1]	1:23.07	7.6
2	4	都市神話(A086)	周俊樂	容天鵬	124	1051	8	1/2	[7][7][6][2]	1:23.16	12
3	5	加州明雋(B363)	蘇銘倫	告東尼	130	1126	11	2-1/4	[4][5][5][3]	1:23.43	2.8
4	12	上浦精神(C350)	郭能	蘇保羅	122	1077	10	3-1/4	[12][10][10][4]	1:23.60	156
5	8	友盈有款(B182)	楊明綸	大衛希斯	128	1061	9	4	[3][2][2][5]	1:23.71	15
6	11	常山耆寶(A275)	何澤堯	文家良	122	1058	4	5-1/2	[5][4][3][6]	1:23.95	64
7	10	小福將(C096)	潘明輝	沈集成	122	1092	5	5-1/2	[6][9][8][7]	1:23.97	36
8	7	得賞(B288)	潘頓	葉楚航	129	1043	13	6-1/4	[13][13][11][8]	1:24.07	8.7
9	1	喜多樂(C224)	莫雷拉	丁冠豪	133	1184	6	7-1/2	[9][8][9][9]	1:24.25	3.1
10	13	奇妙仙子(D210)	彭國年	霍利時	121	1069	12	7-3/4	[1][1][1][10]	1:24.31	300
11	6	有錢分(B079)	史卓豐	苗禮德	129	1155	7	7-3/4	[10][11][12][11]	1:24.32	18
12	9	創紀錄(C168)	黎海榮	何良	126	1096	2	8-1/4	[11][12][13][12]	1:24.41	115
13	3	清新動力(B067)	田泰安	徐雨石	132	1019	14	8-1/2	[14][14][14][13]	1:24.43	57

20210110_10
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	4	非凡才子(C095)	彭國年	容天鵬	127	1161	1	-	[6][6][7][1]	1:21.06	21
2	11	錶之未來(D422)	潘明輝	呂健威	115	1201	3	頸位	[2][3][3][2]	1:21.11	2.9
3	5	喜豐寶(D478)	蘇銘倫	方嘉柏	126	1080	2	1/2	[5][5][5][3]	1:21.17	3.6
4	8	美麗非凡(D023)	田泰安	蔡約翰	120	1208	4	2-3/4	[1][1][1][4]	1:21.49	23
5	1	健快聯盟(C135)	潘頓	蘇保羅	133	1176	9	3	[3][2][2][5]	1:21.54	17
6	12	美麗同享(E058)	巴度	大衛希斯	116	1023	5	3-1/2	[12][10][11][6]	1:21.61	21
7	13	美麗笑容(D347)	何澤堯	告東尼	117	1069	10	4	[7][11][10][7]	1:21.71	10
8	3	友誼至好(C050)	周俊樂	姚本輝	125	1017	11	4	[14][14][14][8]	1:21.72	125
9	7	真妙星(C059)	波健士	苗禮德	122	1220	14	5	[4][4][4][9]	1:21.88	58
10	6	將王(E198)	史卓豐	韋達	123	1176	8	5-3/4	[13][12][13][10]	1:22.00	90
11	2	勁搏(D386)	莫雷拉	蔡約翰	132	1088	7	6-1/4	[10][9][8][11]	1:22.08	4.4
12	10	知道必勝(C383)	蔡明紹	沈集成	120	1233	13	8	[9][8][6][12]	1:22.32	31
13	9	競技勇士(B285)	賀銘年	葉楚航	120	1195	12	9-1/4	[11][13][12][13]	1:22.53	291

20210110_1
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	4	好玩福星(E013)	潘頓	沈集成	129	1150	4	-	[2][2][1]	1:09.96	1.8
2	2	二雋(D415)	莫雷拉	蔡約翰	129	1034	12	1-1/2	[12][10][2]	1:10.21	15
3	1	名牌效應(E030)	何澤堯	呂健威	129	1053	5	2-1/4	[6][5][3]	1:10.33	4
4	6	銀亮戰士(D509)	郭能	高伯新	129	1056	6	4	[8][8][4]	1:10.61	75
5	11	陽明冠爵(D240)	周俊樂	韋達	115	1088	8	5	[10][12][5]	1:10.75	25
6	9	日日有餘(E064)	薛恩	方嘉柏	126	1160	10	5-1/4	[11][11][6]	1:10.79	54
7	5	謎語(D491)	巫顯東	徐雨石	126	1027	9	6	[1][1][7]	1:10.94	34
8	3	勇冠全城(D239)	波健士	蘇保羅	129	1299	11	7-3/4	[9][7][8]	1:11.18	11
9	7	龍城皇將(D246)	史卓豐	苗禮德	129	1079	1	9	[4][4][9]	1:11.40	27
10	8	優達星(C356)	梁家俊	葉楚航	128	1151	7	11-1/4	[3][3][10]	1:11.76	14
11	12	龍之英(C206)	黃皓楠	鄭俊偉	115	1113	2	12-1/4	[5][6][11]	1:11.93	75
12	10	自在人生(B169)	賀銘年	文家良	125	1156	3	17	[7][9][12]	1:12.68	18

20210101_9
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
1	3	加州雷電(D147)	莫雷拉	告東尼	130	1213	2	-	[8][8][1]	1:09.20	2.4
 2	8	團結精神(B230)	彭國年	蘇偉賢	123	1213	13	頸位	[1][1][2]	1:09.25	88
 3	14	同樂日(B087)	巴度	沈集成	118	1098	5	頸位	[5][3][3]	1:09.26	12
4	5	美麗掌聲(C228)	波健士	蔡約翰	124	1164	4	1/2	[2][2][4]	1:09.28	8.8
5	2	韋小寶(C188)	田泰安	蘇保羅	132	1139	3	3/4	[11][12][5]	1:09.34	4.9
6	4	天祿(C082)	郭能	丁冠豪	127	1129	10	1-1/4	[10][10][6]	1:09.41	58
7	11	喜佳龍(B377)	何澤堯	方嘉柏	119	1186	1	1-1/2	[9][5][7]	1:09.44	12
8	13	百勝龍(V356)	黃皓楠	鄭俊偉	116	1177	11	1-1/2	[14][14][8]	1:09.46	45
9	12	劍飛天(E237)	潘明輝	苗禮德	117	1248	14	2-1/4	[12][13][9]	1:09.55	90
10	9	開心好玩(B316)	蔡明紹	葉楚航	122	1134	8	4	[13][11][10]	1:09.86	61
11	1	駿龍駒(D129)	薛恩	大衛希斯	133	1019	9	5	[6][7][11]	1:09.99	21
12	6	勝利威龍(C292)	蘇銘倫	呂健威	124	1090	7	5-1/4	[7][9][12]	1:10.06	8.7
13	7	醒臣(D394)	潘頓	姚本輝	123	1112	12	7-1/2	[3][4][13]	1:10.40	12

20210101_8
名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率
